tpep_pickup_datetime,r1075,r1076,r1077,r1125,r1126,r1127,r1128,r1129,r1130,r1131,r1132,r1172,r1173,r1174,r1175,r1176,r1177,r1178,r1179,r1180,r1181,r1182,r1183,r1184,r1221,r1222,r1223,r1224,r1225,r1227,r1228,r1229,r1230,r1231,r1232,r1233,r1234,r1235,r1272,r1273,r1274,r1278,r1279,r1280,r1281,r1282,r1283,r1284,r1285,r1286,r1287,r1326,r1327,r1331,r1332,r1333,r1334,r1335,r1336,r1337,r1338,r1339,r1376,r1377,r1378,r1380,r1382,r1383,r1384,r1385,r1386,r1387,r1388,r1389,r1390,r1426,r1431,r1434,r1435,r1436,r1437,r1438,r1439,r1441,r1442,r1480,r1482,r1483,r1530,r1532,r1533,r1580,r1630,r1684,r1733,r1734,r1783,r2068,r2069,r2118,r2119,r2168
2016-05-31 23:00:00,56.61,69.04666666666667,49.09,69.02666666666667,141.02666666666667,258.54,340.4033333333333,378.02,437.57333333333327,105.04,9.31,6.2266666666666675,19.756666666666668,27.33333333333333,10.2,20.683333333333334,329.7133333333333,491.10666666666674,455.89333333333326,445.35666666666674,602.3533333333334,425.10333333333335,76.22333333333333,4.42,8.97,16.356666666666666,19.83,33.99333333333333,5.213333333333333,204.5533333333333,364.80666666666673,390.66333333333336,563.7833333333333,697.57,1114.0466666666666,489.60666666666674,216.5233333333333,70.63333333333334,17.04,17.143333333333334,14.156666666666665,11.303333333333333,12.78,113.19,512.9333333333333,754.1,132.77333333333334,40.27,150.43666666666667,117.66666666666669,48.24333333333333,46.06666666666667,46.63666666666666,24.34666666666667,192.41333333333333,203.43,164.56666666666666,16.323333333333334,21.03,57.65333333333334,25.75,9.966666666666667,31.236666666666668,18.456666666666667,14.68,12.316666666666665,26.16,90.34333333333332,194.1033333333333,86.97666666666667,20.86,23.15333333333333,19.45,12.373333333333333,11.866666666666667,12.543333333333333,19.736666666666668,2.2066666666666666,8.376666666666667,27.78333333333333,17.373333333333335,8.146666666666668,7.36,5.5166666666666675,5.446666666666666,8.703333333333333,14.46,5.5233333333333325,8.306666666666667,8.033333333333333,9.466666666666667,2.4166666666666665,8.84,9.783333333333333,9.15,389.08,206.8766666666667,163.95666666666668,22.57,222.20666666666668,66.03666666666666,107.21666666666668
2016-06-01 00:00:00,21.52333333333333,48.77333333333333,27.13333333333333,33.41333333333333,87.86666666666666,128.25666666666666,198.39333333333332,225.23,342.3,84.96333333333334,3.753333333333333,5.153333333333333,13.653333333333334,15.816666666666665,6.316666666666666,21.85,260.37,298.72333333333336,249.03333333333333,247.84333333333333,323.8,281.9066666666667,37.21333333333333,2.3566666666666665,7.276666666666666,10.14,16.796666666666667,19.976666666666667,3.45,178.26333333333332,300.75666666666666,249.76,336.71,414.17,665.7066666666667,233.14333333333332,99.26333333333334,34.96,11.43,12.836666666666664,8.706666666666667,6.84,8.743333333333334,71.83333333333333,341.92,420.97333333333336,84.58666666666667,14.126666666666667,77.22666666666667,70.13333333333334,27.72333333333333,36.206666666666656,31.70333333333333,10.98,102.08666666666667,101.74666666666668,82.69666666666667,7.793333333333332,15.876666666666667,43.17666666666667,22.04,8.336666666666666,24.656666666666666,13.79,11.09,8.813333333333333,15.646666666666668,51.78333333333333,109.98,47.93,15.68,16.666666666666668,16.15,10.153333333333334,13.033333333333333,14.646666666666668,19.53,0.9333333333333332,4.7,21.85333333333333,17.14,8.186666666666667,4.57,4.44,6.176666666666668,8.433333333333334,10.79,5.98,7.563333333333333,11.043333333333333,15.023333333333332,3.4433333333333334,7.613333333333332,2.78,4.426666666666667,266.13,48.76333333333334,88.31333333333332,8.17,175.69666666666663,25.22666666666667,89.56333333333332
2016-06-01 01:00:00,17.096666666666668,27.75666666666667,10.983333333333333,22.156666666666666,46.91666666666666,97.05666666666669,113.9,156.05333333333334,261.49333333333334,34.10666666666667,1.7866666666666666,2.71,6.796666666666668,9.19,2.22,17.263333333333332,180.67666666666668,174.99,144.08666666666667,140.98666666666668,173.06666666666663,152.84,20.376666666666665,1.1033333333333333,4.963333333333333,6.883333333333334,11.703333333333333,12.903333333333334,2.09,124.17333333333332,174.69,135.47666666666666,177.17,275.4266666666667,363.26666666666665,163.27666666666667,50.46,14.953333333333333,6.596666666666668,8.756666666666666,5.4366666666666665,4.226666666666667,4.12,30.59333333333333,208.94666666666663,258.50666666666666,28.516666666666666,6.6,50.25333333333333,42.9,18.83333333333333,24.35333333333333,29.64666666666667,5.366666666666666,68.76666666666667,56.59666666666666,41.7,3.7666666666666666,8.79,26.39333333333333,12.776666666666667,6.446666666666666,20.65333333333333,9.806666666666667,8.466666666666667,7.97,10.03,25.69,68.99666666666667,26.736666666666668,10.88,12.92,14.31,7.376666666666668,10.023333333333332,11.386666666666667,13.783333333333333,0.67,4.073333333333333,15.613333333333333,13.51,4.8966666666666665,4.506666666666667,3.4,3.6433333333333335,7.2,9.93,5.15,7.993333333333332,10.443333333333333,10.726666666666668,3.306666666666666,7.463333333333333,0.2466666666666667,0.9866666666666668,23.39333333333333,8.716666666666667,33.60333333333333,7.276666666666666,92.03,19.49333333333333,47.81
2016-06-01 02:00:00,8.56,11.566666666666665,4.2,12.266666666666667,27.51,60.67,92.38,128.3733333333333,233.04666666666665,20.846666666666668,2.3766666666666665,0.66,6.21,3.5733333333333333,0.9866666666666668,12.01,103.24333333333334,141.81666666666666,88.77,90.11333333333332,122.48666666666666,100.05666666666669,18.663333333333334,0.7,2.94,5.433333333333334,7.57,9.076666666666666,1.13,83.28333333333333,122.48,93.48333333333332,114.67666666666666,130.14,245.04,76.41666666666667,25.04,13.773333333333332,3.793333333333333,4.826666666666667,2.34,3.013333333333333,1.2966666666666666,19.163333333333334,109.73666666666666,151.64666666666668,11.836666666666664,4.55,27.49,27.106666666666666,12.376666666666667,17.11,18.03333333333333,2.9566666666666666,50.97,39.84,22.72666666666667,2.62,4.64,19.466666666666665,8.25,2.8566666666666665,12.52,6.8066666666666675,6.036666666666667,5.0,5.836666666666668,13.346666666666666,43.73333333333333,16.32,8.4,8.923333333333334,10.566666666666666,4.716666666666667,6.7266666666666675,9.62,9.456666666666667,0.2433333333333333,3.05,10.403333333333334,7.196666666666666,3.296666666666667,3.6233333333333335,3.3233333333333333,2.26,6.066666666666666,7.4833333333333325,4.183333333333334,7.916666666666668,8.766666666666667,9.133333333333333,3.046666666666667,7.203333333333332,0.013333333333333334,0.19666666666666666,8.326666666666666,0.87,6.06,3.063333333333333,30.21,4.026666666666666,2.486666666666667
2016-06-01 03:00:00,4.64,9.43,4.016666666666667,9.37,20.21333333333333,32.776666666666664,43.06333333333333,88.37333333333332,220.57,20.22,2.873333333333333,0.7566666666666667,3.523333333333333,1.6033333333333333,0.5833333333333334,10.053333333333333,82.84,84.06,55.91333333333333,60.526666666666664,53.30666666666666,80.18333333333334,17.713333333333335,0.43,2.053333333333333,2.203333333333333,4.9366666666666665,7.543333333333332,0.6466666666666666,57.36333333333334,110.22666666666667,60.45333333333333,79.52666666666667,103.16333333333333,172.09666666666664,49.94,18.983333333333334,9.103333333333332,1.7633333333333334,2.06,2.103333333333333,2.853333333333333,1.3433333333333333,15.133333333333333,66.91333333333333,89.85,6.003333333333333,3.2266666666666666,15.396666666666668,17.403333333333332,8.75,11.476666666666668,8.066666666666666,1.8033333333333328,37.56333333333333,21.60333333333333,11.413333333333336,1.0366666666666666,3.823333333333333,13.436666666666667,5.37,1.9733333333333332,10.413333333333334,4.323333333333333,3.91,2.65,3.6766666666666663,11.703333333333333,30.27666666666667,15.11,7.386666666666668,5.87,5.08,3.9266666666666663,3.6233333333333335,4.15,8.006666666666666,0.3233333333333333,2.373333333333333,8.01,6.486666666666666,3.18,2.5733333333333333,1.66,0.8233333333333334,5.453333333333332,6.183333333333334,3.22,6.703333333333332,5.47,6.926666666666668,2.2666666666666666,5.93,0.0033333333333333327,0.14333333333333334,1.0133333333333334,0.15333333333333332,3.286666666666666,0.41,24.15,1.58,2.74
2016-06-01 04:00:00,5.4833333333333325,11.79,3.953333333333333,8.773333333333332,22.54,32.46333333333333,32.376666666666665,69.29666666666667,132.15333333333334,13.11,2.51,0.5433333333333333,3.823333333333333,3.523333333333333,1.643333333333333,4.816666666666666,57.31666666666667,65.19333333333333,61.21333333333333,55.11333333333334,80.37333333333333,90.31333333333332,18.253333333333334,1.8766666666666667,1.2166666666666666,2.2266666666666666,5.553333333333334,7.0166666666666675,0.6633333333333333,51.67,99.73666666666666,58.29,71.46666666666667,90.69,175.31666666666663,58.02333333333333,30.37333333333333,12.33,1.3166666666666669,2.47,1.3266666666666669,4.703333333333333,4.12,23.79666666666667,70.78,85.59333333333333,8.62,5.17,25.016666666666666,23.263333333333332,12.376666666666667,9.03,7.17,3.883333333333333,53.84,38.16333333333333,21.84666666666667,3.94,8.303333333333333,14.83,4.843333333333334,2.1066666666666665,8.503333333333334,3.373333333333333,2.6633333333333336,2.316666666666667,2.796666666666667,23.626666666666665,58.89,28.966666666666665,8.636666666666667,6.913333333333332,5.03,3.04,4.02,3.733333333333333,11.616666666666667,0.59,3.313333333333333,13.993333333333334,9.666666666666666,3.3,4.246666666666667,1.6733333333333331,1.0933333333333333,5.8066666666666675,10.143333333333333,6.543333333333332,10.136666666666667,6.996666666666667,8.273333333333332,3.78,7.71,0.17333333333333334,0.47,5.963333333333333,2.056666666666666,4.386666666666667,0.39666666666666667,17.133333333333333,1.7733333333333334,6.203333333333332
2016-06-01 05:00:00,8.316666666666666,25.65,13.76,11.313333333333333,43.73,45.90666666666666,43.25666666666667,81.57,58.25666666666667,18.02,3.66,2.86,11.303333333333333,11.64,4.083333333333333,4.433333333333334,39.60333333333333,57.33,101.53666666666666,108.16666666666669,290.45,227.33,21.06,8.336666666666666,0.9866666666666668,3.743333333333333,6.406666666666666,11.683333333333335,1.2266666666666666,31.75,91.4,118.89333333333332,130.35,130.82666666666665,141.49,87.47333333333331,73.86,37.59,1.9566666666666668,2.17,1.0733333333333333,7.963333333333333,9.113333333333333,53.11,138.02333333333334,89.24333333333334,22.34333333333333,15.943333333333333,65.74666666666667,66.95333333333333,27.14,4.906666666666666,2.35,14.27,91.35,132.99,77.52,11.986666666666665,19.946666666666665,26.356666666666666,7.866666666666666,2.816666666666667,2.723333333333333,1.4566666666666668,1.37,4.163333333333333,2.7,77.55666666666667,147.82666666666663,81.00666666666666,18.946666666666665,14.193333333333333,7.586666666666668,7.6,6.8933333333333335,1.26,15.516666666666667,1.4733333333333334,5.303333333333334,22.93,16.04,9.19,3.52,3.1266666666666665,2.7133333333333334,9.423333333333334,14.646666666666668,14.996666666666664,17.83,6.173333333333333,8.356666666666667,5.963333333333333,6.46,0.4966666666666666,1.29,7.08,4.01,19.05333333333333,2.3866666666666667,58.27,4.37,57.13
2016-06-01 06:00:00,20.51333333333333,74.33666666666667,85.49333333333334,44.95,114.29333333333334,136.21666666666667,131.68333333333334,219.79,123.23333333333332,55.23333333333333,14.48,7.853333333333333,33.026666666666664,39.02666666666666,18.11,4.5,69.42666666666666,129.92333333333335,258.9266666666667,314.50666666666666,1052.4933333333333,495.2,66.22,33.14,2.3566666666666665,4.766666666666667,10.493333333333334,18.49333333333333,3.6666666666666665,54.95,182.38666666666663,339.73,408.93,331.2033333333333,237.12,233.26666666666668,249.04666666666665,104.65666666666668,4.336666666666667,4.366666666666666,2.8766666666666665,14.92,37.54,134.41333333333333,394.47666666666674,246.48666666666668,74.05333333333333,51.19,178.57,154.73333333333332,62.04666666666667,5.3566666666666665,1.82,37.09666666666666,271.0466666666667,385.77333333333326,264.87666666666667,62.56333333333333,59.54666666666667,54.26333333333334,17.913333333333334,6.916666666666668,1.7333333333333334,1.2433333333333334,1.9966666666666664,4.463333333333333,4.713333333333333,260.11,453.97,229.38333333333333,37.59666666666666,34.27333333333333,15.173333333333336,14.59,11.916666666666664,1.0633333333333332,17.58,10.02,11.713333333333333,34.78333333333333,32.46,19.203333333333333,8.193333333333333,4.513333333333334,7.1033333333333335,20.65,20.12333333333333,21.2,31.91,7.046666666666668,10.81,15.34,7.576666666666667,2.5966666666666667,1.4933333333333334,8.01,7.3066666666666675,58.23,11.216666666666667,164.76,13.09,78.84333333333333
2016-06-01 07:00:00,46.526666666666664,132.68,173.4,73.13,156.71,252.3,213.84333333333333,384.6133333333333,213.3533333333333,114.14,37.14666666666667,10.936666666666667,42.56333333333333,65.93333333333334,23.25333333333333,13.273333333333332,103.78666666666666,245.36333333333332,491.91333333333336,508.26,1202.51,735.8966666666665,155.28333333333333,47.25333333333333,3.466666666666667,5.503333333333333,13.613333333333333,26.97,6.463333333333333,80.39333333333333,264.28,557.8366666666667,724.98,570.0566666666666,389.8433333333333,485.69,395.9633333333333,183.19333333333333,5.246666666666667,4.886666666666667,4.246666666666667,20.54,59.24,280.9866666666667,805.0266666666665,603.0766666666667,234.90666666666667,84.97666666666667,325.99333333333334,301.57666666666665,145.42,5.226666666666667,2.9433333333333334,105.46666666666668,595.05,935.65,648.1066666666667,195.0133333333333,117.90333333333334,109.93,48.95,14.333333333333336,1.51,1.5366666666666666,3.43,4.13,12.85,513.9933333333332,746.8866666666668,454.22,70.36333333333333,55.55666666666666,30.39333333333333,24.63333333333333,32.32,0.82,17.98,29.00333333333333,13.736666666666665,54.89,62.3,22.61,14.87,7.503333333333333,10.346666666666666,22.696666666666665,22.13,27.586666666666666,44.23666666666666,7.11,10.946666666666667,17.813333333333333,8.82,5.01,8.506666666666666,70.22,180.94333333333333,68.20333333333333,7.006666666666668,146.29333333333332,26.29,71.09333333333333
2016-06-01 08:00:00,74.73,212.38333333333333,214.15666666666667,99.9,199.24,295.80333333333334,285.8666666666667,472.08,323.24,185.7133333333333,53.74333333333333,18.193333333333328,68.19666666666667,56.37,22.1,27.37333333333333,125.11666666666666,306.58666666666664,641.6066666666667,605.95,1029.07,596.48,191.81333333333333,30.68333333333333,4.493333333333333,7.003333333333333,16.286666666666665,34.24,11.4,114.50666666666666,255.4,603.2,959.0333333333333,822.4666666666667,631.8433333333334,606.2733333333333,467.07333333333327,205.73,5.4,5.746666666666667,6.923333333333333,17.046666666666667,72.63666666666667,319.7966666666667,941.7633333333333,773.4766666666667,287.48,124.96333333333334,362.41666666666674,374.43666666666667,135.29,5.66,5.456666666666668,130.67,659.3433333333334,1005.9766666666667,759.67,225.23,132.77666666666667,147.72666666666666,48.86,14.073333333333334,1.2666666666666666,2.1366666666666667,3.723333333333333,5.346666666666667,22.2,594.5266666666666,672.0566666666666,502.22,64.89333333333333,55.25333333333333,17.833333333333332,19.556666666666672,29.836666666666666,0.7866666666666666,20.776666666666667,25.61333333333333,12.59,39.91666666666666,50.38,24.65333333333333,13.376666666666667,8.023333333333332,20.36,21.51,17.973333333333333,25.18666666666667,36.46666666666667,5.613333333333332,9.366666666666667,12.19,5.9833333333333325,14.793333333333333,9.486666666666666,207.2633333333333,254.7333333333333,51.40666666666666,5.553333333333334,92.94333333333331,7.73,76.04333333333334
