tpep_pickup_datetime,region_number,n
2016-06-01 00:00:00,1584,1
2016-06-01 00:00:00,1597,1
2016-06-01 00:00:00,1630,1
2016-06-01 00:00:00,1631,3
2016-06-01 00:00:00,1632,1
2016-06-01 00:00:00,1633,1
2016-06-01 00:00:00,1638,1
2016-06-01 00:00:00,1643,3
2016-06-01 00:00:00,1679,1
2016-06-01 00:00:00,1680,3
2016-06-01 00:00:00,1681,4
2016-06-01 00:00:00,1682,1
2016-06-01 00:00:00,1684,1
2016-06-01 00:00:00,1729,1
2016-06-01 00:00:00,1733,6
2016-06-01 00:00:00,1734,262
2016-06-01 00:00:00,1743,1
2016-06-01 00:00:00,1744,1
2016-06-01 00:00:00,1777,1
2016-06-01 00:00:00,1779,1
2016-06-01 00:00:00,1781,1
2016-06-01 00:00:00,1783,107
2016-06-01 00:00:00,1790,1
2016-06-01 00:00:00,1824,1
2016-06-01 00:00:00,1827,1
2016-06-01 00:00:00,1828,2
2016-06-01 00:00:00,1829,1
2016-06-01 00:00:00,1877,1
2016-06-01 00:00:00,1878,1
2016-06-01 00:00:00,1973,1
2016-06-01 00:00:00,1983,1
2016-06-01 00:00:00,2019,2
2016-06-01 00:00:00,2021,1
2016-06-01 00:00:00,2025,1
2016-06-01 00:00:00,2068,114
2016-06-01 00:00:00,2069,7
2016-06-01 00:00:00,2070,1
2016-06-01 00:00:00,2071,2
2016-06-01 00:00:00,2079,1
2016-06-01 00:00:00,2118,169
2016-06-01 00:00:00,2119,6
2016-06-01 00:00:00,2168,85
2016-06-01 00:00:00,2277,1
2016-06-01 01:00:00,1031,1
2016-06-01 01:00:00,1067,1
2016-06-01 01:00:00,1068,1
2016-06-01 01:00:00,1075,14
2016-06-01 01:00:00,1076,21
2016-06-01 01:00:00,1077,6
2016-06-01 01:00:00,1119,1
2016-06-01 01:00:00,1125,26
2016-06-01 01:00:00,1126,49
2016-06-01 01:00:00,1127,101
2016-06-01 01:00:00,1128,136
2016-06-01 01:00:00,1129,144
2016-06-01 01:00:00,1130,252
2016-06-01 01:00:00,1131,27
2016-06-01 01:00:00,1132,6
2016-06-01 01:00:00,1171,2
2016-06-01 01:00:00,1172,2
2016-06-01 01:00:00,1173,7
2016-06-01 01:00:00,1174,7
2016-06-01 01:00:00,1175,3
2016-06-01 01:00:00,1176,25
2016-06-01 01:00:00,1177,173
2016-06-01 01:00:00,1178,198
2016-06-01 01:00:00,1179,126
2016-06-01 01:00:00,1180,104
2016-06-01 01:00:00,1181,150
2016-06-01 01:00:00,1182,138
2016-06-01 01:00:00,1183,21
2016-06-01 01:00:00,1184,1
2016-06-01 01:00:00,1221,4
2016-06-01 01:00:00,1222,7
2016-06-01 01:00:00,1223,11
2016-06-01 01:00:00,1224,12
2016-06-01 01:00:00,1225,1
2016-06-01 01:00:00,1227,115
2016-06-01 01:00:00,1228,185
2016-06-01 01:00:00,1229,149
2016-06-01 01:00:00,1230,208
2016-06-01 01:00:00,1231,211
2016-06-01 01:00:00,1232,351
2016-06-01 01:00:00,1233,111
2016-06-01 01:00:00,1234,64
2016-06-01 01:00:00,1235,20
2016-06-01 01:00:00,1268,1
2016-06-01 01:00:00,1272,4
2016-06-01 01:00:00,1273,8
2016-06-01 01:00:00,1274,2
2016-06-01 01:00:00,1276,1
2016-06-01 01:00:00,1277,2
2016-06-01 01:00:00,1278,3
2016-06-01 01:00:00,1279,3
2016-06-01 01:00:00,1280,44
2016-06-01 01:00:00,1281,175
2016-06-01 01:00:00,1282,239
2016-06-01 01:00:00,1283,14
2016-06-01 01:00:00,1284,12
2016-06-01 01:00:00,1285,42
2016-06-01 01:00:00,1286,48
2016-06-01 01:00:00,1287,14
2016-06-01 01:00:00,1318,1
2016-06-01 01:00:00,1319,2
2016-06-01 01:00:00,1321,3
2016-06-01 01:00:00,1322,4
2016-06-01 01:00:00,1323,4
2016-06-01 01:00:00,1324,3
2016-06-01 01:00:00,1326,24
2016-06-01 01:00:00,1327,19
2016-06-01 01:00:00,1328,1
2016-06-01 01:00:00,1329,1
2016-06-01 01:00:00,1331,4
2016-06-01 01:00:00,1332,58
2016-06-01 01:00:00,1333,57
2016-06-01 01:00:00,1334,44
2016-06-01 01:00:00,1335,6
2016-06-01 01:00:00,1336,8
2016-06-01 01:00:00,1337,27
2016-06-01 01:00:00,1338,16
2016-06-01 01:00:00,1339,1
2016-06-01 01:00:00,1369,1
2016-06-01 01:00:00,1371,3
2016-06-01 01:00:00,1372,4
2016-06-01 01:00:00,1373,3
2016-06-01 01:00:00,1374,5
2016-06-01 01:00:00,1375,2
2016-06-01 01:00:00,1376,13
2016-06-01 01:00:00,1377,8
2016-06-01 01:00:00,1378,9
2016-06-01 01:00:00,1379,3
2016-06-01 01:00:00,1380,7
2016-06-01 01:00:00,1381,2
2016-06-01 01:00:00,1382,7
2016-06-01 01:00:00,1383,25
2016-06-01 01:00:00,1384,70
2016-06-01 01:00:00,1385,22
2016-06-01 01:00:00,1386,14
2016-06-01 01:00:00,1387,18
2016-06-01 01:00:00,1388,18
2016-06-01 01:00:00,1389,7
2016-06-01 01:00:00,1390,3
2016-06-01 01:00:00,1391,4
2016-06-01 01:00:00,1420,1
2016-06-01 01:00:00,1423,1
2016-06-01 01:00:00,1424,4
2016-06-01 01:00:00,1425,6
2016-06-01 01:00:00,1426,7
2016-06-01 01:00:00,1427,2
2016-06-01 01:00:00,1430,1
2016-06-01 01:00:00,1431,12
2016-06-01 01:00:00,1432,1
2016-06-01 01:00:00,1434,2
2016-06-01 01:00:00,1435,5
2016-06-01 01:00:00,1436,22
2016-06-01 01:00:00,1437,8
2016-06-01 01:00:00,1438,5
2016-06-01 01:00:00,1439,3
2016-06-01 01:00:00,1440,3
2016-06-01 01:00:00,1441,8
2016-06-01 01:00:00,1442,2
2016-06-01 01:00:00,1443,2
2016-06-01 01:00:00,1470,1
2016-06-01 01:00:00,1471,1
2016-06-01 01:00:00,1472,1
2016-06-01 01:00:00,1473,1
2016-06-01 01:00:00,1474,3
2016-06-01 01:00:00,1475,6
2016-06-01 01:00:00,1479,1
2016-06-01 01:00:00,1480,6
2016-06-01 01:00:00,1481,4
2016-06-01 01:00:00,1482,9
2016-06-01 01:00:00,1483,4
2016-06-01 01:00:00,1486,1
2016-06-01 01:00:00,1488,1
2016-06-01 01:00:00,1489,4
2016-06-01 01:00:00,1493,1
2016-06-01 01:00:00,1524,2
2016-06-01 01:00:00,1525,4
2016-06-01 01:00:00,1526,1
2016-06-01 01:00:00,1530,3
2016-06-01 01:00:00,1532,9
2016-06-01 01:00:00,1533,8
2016-06-01 01:00:00,1534,1
2016-06-01 01:00:00,1538,1
2016-06-01 01:00:00,1542,1
2016-06-01 01:00:00,1545,3
2016-06-01 01:00:00,1574,1
2016-06-01 01:00:00,1580,3
2016-06-01 01:00:00,1581,3
2016-06-01 01:00:00,1584,1
2016-06-01 01:00:00,1593,1
2016-06-01 01:00:00,1617,1
2016-06-01 01:00:00,1622,1
2016-06-01 01:00:00,1626,1
2016-06-01 01:00:00,1630,5
2016-06-01 01:00:00,1631,5
2016-06-01 01:00:00,1645,1
2016-06-01 01:00:00,1679,1
2016-06-01 01:00:00,1680,2
2016-06-01 01:00:00,1681,5
2016-06-01 01:00:00,1729,1
2016-06-01 01:00:00,1731,2
2016-06-01 01:00:00,1734,137
2016-06-01 01:00:00,1739,1
2016-06-01 01:00:00,1778,1
2016-06-01 01:00:00,1779,1
2016-06-01 01:00:00,1783,1
2016-06-01 01:00:00,1824,1
2016-06-01 01:00:00,1830,1
2016-06-01 01:00:00,1831,1
2016-06-01 01:00:00,1877,2
2016-06-01 01:00:00,1932,1
2016-06-01 01:00:00,1971,1
2016-06-01 01:00:00,1977,1
2016-06-01 01:00:00,2020,1
2016-06-01 01:00:00,2022,2
2016-06-01 01:00:00,2023,1
2016-06-01 01:00:00,2068,27
2016-06-01 01:00:00,2069,16
2016-06-01 01:00:00,2118,105
2016-06-01 01:00:00,2119,4
2016-06-01 01:00:00,2126,1
2016-06-01 01:00:00,2168,42
2016-06-01 01:00:00,2274,1
2016-06-01 01:00:00,2278,1
2016-06-01 02:00:00,564,1
2016-06-01 02:00:00,977,1
2016-06-01 02:00:00,978,1
2016-06-01 02:00:00,1075,5
2016-06-01 02:00:00,1076,25
2016-06-01 02:00:00,1077,4
2016-06-01 02:00:00,1119,1
2016-06-01 02:00:00,1122,1
2016-06-01 02:00:00,1125,18
2016-06-01 02:00:00,1126,25
2016-06-01 02:00:00,1127,42
2016-06-01 02:00:00,1128,74
2016-06-01 02:00:00,1129,123
2016-06-01 02:00:00,1130,245
2016-06-01 02:00:00,1131,30
2016-06-01 02:00:00,1132,7
2016-06-01 02:00:00,1172,1
2016-06-01 02:00:00,1173,6
2016-06-01 02:00:00,1174,4
2016-06-01 02:00:00,1176,4
2016-06-01 02:00:00,1177,120
2016-06-01 02:00:00,1178,115
2016-06-01 02:00:00,1179,90
2016-06-01 02:00:00,1180,81
2016-06-01 02:00:00,1181,106
2016-06-01 02:00:00,1182,99
2016-06-01 02:00:00,1183,20
2016-06-01 02:00:00,1184,1
2016-06-01 02:00:00,1217,1
2016-06-01 02:00:00,1221,4
2016-06-01 02:00:00,1222,2
2016-06-01 02:00:00,1223,7
2016-06-01 02:00:00,1224,6
2016-06-01 02:00:00,1225,2
2016-06-01 02:00:00,1227,61
2016-06-01 02:00:00,1228,163
2016-06-01 02:00:00,1229,67
2016-06-01 02:00:00,1230,136
2016-06-01 02:00:00,1231,124
2016-06-01 02:00:00,1232,216
2016-06-01 02:00:00,1233,60
2016-06-01 02:00:00,1234,19
2016-06-01 02:00:00,1235,8
2016-06-01 02:00:00,1268,1
2016-06-01 02:00:00,1272,2
2016-06-01 02:00:00,1273,5
2016-06-01 02:00:00,1278,5
2016-06-01 02:00:00,1279,1
2016-06-01 02:00:00,1280,24
2016-06-01 02:00:00,1281,98
2016-06-01 02:00:00,1282,129
2016-06-01 02:00:00,1283,8
2016-06-01 02:00:00,1284,4
2016-06-01 02:00:00,1285,26
2016-06-01 02:00:00,1286,26
2016-06-01 02:00:00,1287,13
2016-06-01 02:00:00,1318,1
2016-06-01 02:00:00,1319,1
2016-06-01 02:00:00,1320,2
2016-06-01 02:00:00,1322,1
2016-06-01 02:00:00,1323,3
2016-06-01 02:00:00,1324,1
2016-06-01 02:00:00,1325,1
2016-06-01 02:00:00,1326,16
2016-06-01 02:00:00,1327,9
2016-06-01 02:00:00,1331,4
2016-06-01 02:00:00,1332,41
2016-06-01 02:00:00,1333,35
2016-06-01 02:00:00,1334,16
2016-06-01 02:00:00,1335,1
2016-06-01 02:00:00,1336,5
2016-06-01 02:00:00,1337,16
2016-06-01 02:00:00,1338,6
2016-06-01 02:00:00,1339,5
2016-06-01 02:00:00,1371,2
2016-06-01 02:00:00,1372,2
2016-06-01 02:00:00,1374,3
2016-06-01 02:00:00,1375,1
2016-06-01 02:00:00,1376,13
2016-06-01 02:00:00,1377,6
2016-06-01 02:00:00,1378,2
2016-06-01 02:00:00,1379,1
2016-06-01 02:00:00,1380,2
2016-06-01 02:00:00,1381,5
2016-06-01 02:00:00,1382,7
2016-06-01 02:00:00,1383,10
2016-06-01 02:00:00,1384,40
2016-06-01 02:00:00,1385,14
2016-06-01 02:00:00,1386,6
2016-06-01 02:00:00,1387,7
2016-06-01 02:00:00,1388,11
2016-06-01 02:00:00,1389,2
2016-06-01 02:00:00,1390,8
2016-06-01 02:00:00,1391,1
2016-06-01 02:00:00,1421,1
2016-06-01 02:00:00,1422,1
2016-06-01 02:00:00,1423,1
2016-06-01 02:00:00,1424,2
2016-06-01 02:00:00,1425,1
2016-06-01 02:00:00,1426,4
2016-06-01 02:00:00,1427,1
2016-06-01 02:00:00,1430,2
2016-06-01 02:00:00,1431,11
2016-06-01 02:00:00,1432,1
2016-06-01 02:00:00,1435,5
2016-06-01 02:00:00,1436,6
2016-06-01 02:00:00,1437,13
2016-06-01 02:00:00,1438,3
2016-06-01 02:00:00,1439,2
2016-06-01 02:00:00,1440,3
2016-06-01 02:00:00,1441,1
2016-06-01 02:00:00,1471,1
2016-06-01 02:00:00,1473,2
2016-06-01 02:00:00,1474,1
2016-06-01 02:00:00,1475,3
2016-06-01 02:00:00,1479,2
2016-06-01 02:00:00,1480,3
2016-06-01 02:00:00,1482,8
2016-06-01 02:00:00,1483,3
2016-06-01 02:00:00,1488,2
2016-06-01 02:00:00,1489,1
2016-06-01 02:00:00,1494,1
2016-06-01 02:00:00,1525,2
2016-06-01 02:00:00,1530,5
2016-06-01 02:00:00,1531,1
2016-06-01 02:00:00,1532,7
2016-06-01 02:00:00,1533,11
2016-06-01 02:00:00,1534,1
2016-06-01 02:00:00,1536,1
2016-06-01 02:00:00,1580,4
2016-06-01 02:00:00,1581,2
2016-06-01 02:00:00,1583,3
2016-06-01 02:00:00,1584,2
2016-06-01 02:00:00,1630,8
2016-06-01 02:00:00,1679,1
2016-06-01 02:00:00,1680,4
2016-06-01 02:00:00,1681,2
2016-06-01 02:00:00,1731,1
2016-06-01 02:00:00,1733,1
2016-06-01 02:00:00,1734,25
2016-06-01 02:00:00,1790,1
2016-06-01 02:00:00,1828,1
2016-06-01 02:00:00,1831,3
2016-06-01 02:00:00,1877,1
2016-06-01 02:00:00,2068,11
2016-06-01 02:00:00,2071,1
2016-06-01 02:00:00,2118,31
2016-06-01 02:00:00,2168,10
2016-06-01 02:00:00,2182,1
2016-06-01 02:00:00,2221,1
2016-06-01 03:00:00,740,1
2016-06-01 03:00:00,946,1
2016-06-01 03:00:00,1017,1
2016-06-01 03:00:00,1067,1
2016-06-01 03:00:00,1075,2
2016-06-01 03:00:00,1076,5
2016-06-01 03:00:00,1077,3
2016-06-01 03:00:00,1122,1
2016-06-01 03:00:00,1125,4
2016-06-01 03:00:00,1126,16
2016-06-01 03:00:00,1127,36
2016-06-01 03:00:00,1128,36
2016-06-01 03:00:00,1129,85
2016-06-01 03:00:00,1130,241
2016-06-01 03:00:00,1131,24
2016-06-01 03:00:00,1132,5
2016-06-01 03:00:00,1163,1
2016-06-01 03:00:00,1174,3
2016-06-01 03:00:00,1176,2
2016-06-01 03:00:00,1177,91
2016-06-01 03:00:00,1178,68
2016-06-01 03:00:00,1179,62
2016-06-01 03:00:00,1180,53
2016-06-01 03:00:00,1181,43
2016-06-01 03:00:00,1182,93
2016-06-01 03:00:00,1183,13
2016-06-01 03:00:00,1221,1
2016-06-01 03:00:00,1222,1
2016-06-01 03:00:00,1223,6
2016-06-01 03:00:00,1224,9
2016-06-01 03:00:00,1227,45
2016-06-01 03:00:00,1228,119
2016-06-01 03:00:00,1229,51
2016-06-01 03:00:00,1230,80
2016-06-01 03:00:00,1231,95
2016-06-01 03:00:00,1232,147
2016-06-01 03:00:00,1233,57
2016-06-01 03:00:00,1234,22
2016-06-01 03:00:00,1235,12
2016-06-01 03:00:00,1267,1
